,Apoptosis,Necroptosis,Necrosis,Control
230512.HeLa_CD95 (1).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (10).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (11).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (12).TCF,0.875,0.125,0.0,0.0
230512.HeLa_CD95 (13).TCF,0.9166666666666666,0.08333333333333333,0.0,0.0
230512.HeLa_CD95 (14).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (15).TCF,0.75,0.25,0.0,0.0
230512.HeLa_CD95 (16).TCF,0.4166666666666667,0.5833333333333334,0.0,0.0
230512.HeLa_CD95 (17).TCF,0.9285714285714286,0.07142857142857142,0.0,0.0
230512.HeLa_CD95 (18).TCF,0.8333333333333334,0.16666666666666666,0.0,0.0
230512.HeLa_CD95 (19).TCF,0.8235294117647058,0.17647058823529413,0.0,0.0
230512.HeLa_CD95 (2).TCF,0.8888888888888888,0.1111111111111111,0.0,0.0
230512.HeLa_CD95 (20).TCF,0.85,0.15,0.0,0.0
230512.HeLa_CD95 (21).TCF,0.9523809523809523,0.047619047619047616,0.0,0.0
230512.HeLa_CD95 (22).TCF,0.9090909090909091,0.09090909090909091,0.0,0.0
230512.HeLa_CD95 (23).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (24).TCF,0.7333333333333333,0.26666666666666666,0.0,0.0
230512.HeLa_CD95 (25).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (26).TCF,0.75,0.25,0.0,0.0
230512.HeLa_CD95 (27).TCF,0.5625,0.4375,0.0,0.0
230512.HeLa_CD95 (28).TCF,0.4,0.6,0.0,0.0
230512.HeLa_CD95 (29).TCF,0.7777777777777778,0.2222222222222222,0.0,0.0
230512.HeLa_CD95 (3).TCF,0.9333333333333333,0.06666666666666667,0.0,0.0
230512.HeLa_CD95 (30).TCF,0.5625,0.4375,0.0,0.0
230512.HeLa_CD95 (31).TCF,0.4,0.6,0.0,0.0
230512.HeLa_CD95 (32).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (33).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (34).TCF,0.8461538461538461,0.15384615384615385,0.0,0.0
230512.HeLa_CD95 (35).TCF,0.9565217391304348,0.043478260869565216,0.0,0.0
230512.HeLa_CD95 (4).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (5).TCF,1.0,0.0,0.0,0.0
230512.HeLa_CD95 (6).TCF,0.7857142857142857,0.21428571428571427,0.0,0.0
230512.HeLa_CD95 (7).TCF,0.8823529411764706,0.11764705882352941,0.0,0.0
230512.HeLa_CD95 (8).TCF,0.8571428571428571,0.14285714285714285,0.0,0.0
230512.HeLa_CD95 (9).TCF,0.9375,0.0625,0.0,0.0
230512.HeLa_TNF (1).TCF,0.8461538461538461,0.15384615384615385,0.0,0.0
230512.HeLa_TNF (10).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (11).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (12).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (13).TCF,0.8333333333333334,0.16666666666666666,0.0,0.0
230512.HeLa_TNF (14).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (15).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (16).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (17).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (18).TCF,0.9,0.1,0.0,0.0
230512.HeLa_TNF (19).TCF,0.7857142857142857,0.21428571428571427,0.0,0.0
230512.HeLa_TNF (2).TCF,0.8666666666666667,0.13333333333333333,0.0,0.0
230512.HeLa_TNF (20).TCF,0.8947368421052632,0.10526315789473684,0.0,0.0
230512.HeLa_TNF (21).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (22).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (23).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (24).TCF,0.75,0.25,0.0,0.0
230512.HeLa_TNF (25).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (26).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (27).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (28).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (29).TCF,0.9375,0.0625,0.0,0.0
230512.HeLa_TNF (3).TCF,0.6666666666666666,0.3333333333333333,0.0,0.0
230512.HeLa_TNF (30).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (31).TCF,0.9090909090909091,0.09090909090909091,0.0,0.0
230512.HeLa_TNF (32).TCF,0.9523809523809523,0.047619047619047616,0.0,0.0
230512.HeLa_TNF (33).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (34).TCF,0.8571428571428571,0.14285714285714285,0.0,0.0
230512.HeLa_TNF (35).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (4).TCF,0.5384615384615384,0.46153846153846156,0.0,0.0
230512.HeLa_TNF (5).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (6).TCF,1.0,0.0,0.0,0.0
230512.HeLa_TNF (7).TCF,0.9285714285714286,0.07142857142857142,0.0,0.0
230512.HeLa_TNF (8).TCF,0.8333333333333334,0.16666666666666666,0.0,0.0
230512.HeLa_TNF (9).TCF,1.0,0.0,0.0,0.0
